Block Name,Component Name,Component Count,Source File
Suit Upgrade Station,Medical,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_MedicalStation.sbc
Suit Upgrade Station,Display,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_MedicalStation.sbc
Suit Upgrade Station,Computer,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_MedicalStation.sbc
Suit Upgrade Station,Construction,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_MedicalStation.sbc
NPC Small Battery,SteelPlate,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCEnergy.sbc
NPC Small Battery,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCEnergy.sbc
NPC Small Battery,Computer,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCEnergy.sbc
NPC Small Battery,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCEnergy.sbc
NPC Small Battery,PowerCell,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCEnergy.sbc
NPC Small Battery,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCEnergy.sbc
NPC Small Battery,SteelPlate,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCEnergy.sbc
NPC Large Atmo Thruster,SteelPlate,100,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,Construction,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,LargeTube,50,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,MetalGrid,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,Motor,1100,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,SteelPlate,130,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,SteelPlate,15,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,Construction,30,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,LargeTube,8,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,MetalGrid,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,Motor,110,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,SteelPlate,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,SteelPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,LargeTube,4,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,MetalGrid,8,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,Motor,90,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Atmo Thruster,SteelPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,SteelPlate,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,LargeTube,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,MetalGrid,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,Motor,18,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,Construction,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Atmo Thruster,SteelPlate,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Atmo.sbc
NPC Large Hydrogen Thruster,SteelPlate,100,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,Construction,150,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,MetalGrid,250,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,LargeTube,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,Construction,30,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,SteelPlate,50,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,SteelPlate,15,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,Construction,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,MetalGrid,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,LargeTube,8,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,SteelPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,SteelPlate,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,MetalGrid,22,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,LargeTube,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Hydrogen Thruster,SteelPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,SteelPlate,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,MetalGrid,4,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,LargeTube,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,Construction,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Hydrogen Thruster,SteelPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Hydro.sbc
NPC Large Industrial Hydrogen Thruster,SteelPlate,100,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,Construction,150,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,MetalGrid,250,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,LargeTube,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,Construction,30,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,SteelPlate,50,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,SteelPlate,15,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,Construction,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,MetalGrid,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,LargeTube,8,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,SteelPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,SteelPlate,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,MetalGrid,22,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,LargeTube,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Large Industrial Hydrogen Thruster,SteelPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,SteelPlate,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,MetalGrid,4,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,LargeTube,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,Construction,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Industrial Hydrogen Thruster,SteelPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Industrial.sbc
NPC Ion Thruster,SteelPlate,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,LargeTube,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,MESThrust,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,SteelPlate,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,SteelPlate,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,LargeTube,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,MESThrust,12,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,SteelPlate,4,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,SteelPlate,15,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,Construction,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,LargeTube,8,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,MESThrust,80,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Ion Thruster,SteelPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,SteelPlate,100,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,Construction,70,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,LargeTube,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,MESThrust,960,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,Construction,30,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC Large Ion Thruster,SteelPlate,50,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-Ion.sbc
NPC SciFi Ion Thruster,SteelPlate,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-SciFi.sbc
NPC SciFi Ion Thruster,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-SciFi.sbc
NPC SciFi Ion Thruster,LargeTube,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-SciFi.sbc
NPC SciFi Ion Thruster,MESThrust,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-SciFi.sbc
NPC SciFi Ion Thruster,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_NPCThrusters-SciFi.sbc
